a,b,n,mean_diff_a_minus_b,stat,p,p_holm,p_bh
ens_trimmed,stack_phase_conformal,18018,-39.945669891509006,-3.3308641493367626,0.0008675079833376343,0.05012109522372069,0.002212784624730339
ens_trimmed,stack_phase,18018,-40.440841293904825,-3.32834473303708,0.0008753873240691449,0.05012109522372069,0.002212784624730339
stack_global,stack_phase_conformal,18018,-2.252630734480453,-3.2293534441202394,0.0012429276966763921,0.06836102331720156,0.0030569302810149104
ens_mean,ml,18018,-154.98469888167352,-3.1312267950942343,0.001743560759061867,0.09415228098934082,0.004175369186174471
ens_trimmed,stack_global,18018,-37.693039157028544,-3.113354509112682,0.0018526336011030348,0.09818958085846084,0.004322811735907081
ens_trimmed,ml,18018,-174.80643457565228,-3.035491655368476,0.0024048660376276296,0.12505303395663675,0.005471070235602857
ens_median,ens_perf,18018,-37.98110221723384,-3.027696188618841,0.0024677410577695464,0.12585479394624688,0.0054771813721226515
ens_median,stack_phase,18018,-37.01859535803051,-3.0140422464900443,0.0025815041269837856,0.1290752063491893,0.005498537741289466
ens_median,stack_phase_conformal,18018,-36.5234239556347,-3.0120837044627495,0.0025982101414884287,0.1290752063491893,0.005498537741289466
ens_median,ml,18018,-171.38418863977802,-2.9876320348856598,0.0028152644734670035,0.13513269472641617,0.005822478797397666
ml,patchtst,18018,168.11989828013338,2.8951517401153355,0.003794304702806633,0.17833232103191174,0.007672927287897857
ml,tft,18018,164.42108069104006,2.8455262296438146,0.0044388126587805955,0.2041853823039074,0.008781129390196396
ens_median,stack_global,18018,-34.270793221154236,-2.8017181706840573,0.005088547478745914,0.22898463654356613,0.009852294054593152
ens_perf,patchtst,18018,34.71681185758923,2.757343690771126,0.005833174487409828,0.2566596774460324,0.010874463590496382
patchtst,stack_phase,18018,-33.754304998385905,-2.750209887176122,0.005961651830618717,0.2566596774460324,0.010874463590496382
patchtst,stack_phase_conformal,18018,-33.25913359599009,-2.7443892062070354,0.006068363441984254,0.2566596774460324,0.010874463590496382
arima,persistence,18018,37.65075300618949,2.7429787304819677,0.006094479594673796,0.2566596774460324,0.010874463590496382
ens_mean,persistence,18018,-23.716036615150543,-2.6213559292563775,0.008765434607143172,0.35061738428572686,0.01533951056250055
patchtst,stack_global,18018,-31.006502861509635,-2.5427799901025643,0.01100573653618623,0.4292237249112629,0.01889664197722541
ens_perf,tft,18018,31.01799426849588,2.484018680971997,0.012999916558294683,0.49399682921519794,0.02190726679268178
stack_phase,tft,18018,30.055487409292564,2.467322781365257,0.013621985556073754,0.5040134655747289,0.022538194283685666
stack_phase_conformal,tft,18018,29.560316006896755,2.45794243971739,0.013982902210034677,0.5040134655747289,0.022722216091306348
arima,mist_v2,18018,34.31987202525812,2.4130831738372183,0.01582812567757351,0.5539843987150729,0.024636953517499137
ens_mean,ens_trimmed,18018,19.82173569397877,2.410654985627025,0.015933851421753832,0.5539843987150729,0.024636953517499137
mist_v2,ml,18018,-127.93778128559164,-2.409750103895443,0.015973409423433508,0.5539843987150729,0.024636953517499137
ens_trimmed,patchtst,18018,-6.68653629551891,-2.3649160467366825,0.01804469413378222,0.5774302122810311,0.027367786102903035
ens_perf,ml,18018,-133.40308642254413,-2.3340402039023376,0.01960455111853746,0.6077410846746613,0.029246133635850966
ml,stack_global,18018,137.11339541862375,2.32173727540802,0.020258179700765676,0.6077453910229703,0.029733779883381876
ml,persistence,18018,131.26866226652302,2.2985692434605784,0.021540803876972187,0.6246833124321934,0.031114494488959827
ml,stack_phase_conformal,18018,134.86076468414328,2.2840391207862356,0.022380811214321433,0.6266627140010002,0.03182271594536328
ml,stack_phase,18018,134.3655932817475,2.2743425085058853,0.02295710518350773,0.6266627140010002,0.03213994725691082
stack_global,tft,18018,27.307685272416293,2.253825188330942,0.024219134502935596,0.6296974970763255,0.033393049087380895
ens_mean,ens_median,18018,16.39948975810447,2.027476742718435,0.042628370677499534,1.0,0.05789823480078295
arima,seasonal_naive,18018,-31.49534656515389,-1.8810402917692364,0.05998255053497669,1.0,0.08027076615710116
patchtst,tft,18018,-3.698817589093341,-1.8360977862285048,0.06635966379660699,1.0,0.08751781747088748
ens_mean,ens_perf,18018,-21.58161245912936,-1.6353999089019713,0.10198270993303404,1.0,0.13257752291294425
arima,ml,18018,-93.61790926033348,-1.6263070120307712,0.10390184936053416,1.0,0.13316997594096633
ens_mean,stack_phase,18018,-20.619105599926048,-1.4568971267623883,0.1451622063810902,1.0,0.18154316096311812
ens_mean,patchtst,18018,13.135199398459855,1.4551920451703257,0.1456335247286552,1.0,0.18154316096311812
ens_mean,stack_phase_conformal,18018,-20.123934197530225,-1.434861854341188,0.1513438251370677,1.0,0.18611200118206975
stack_phase,stack_phase_conformal,18018,0.49517140239581897,1.3285707639776407,0.18400644961338955,1.0,0.223261158864246
ens_mean,stack_global,18018,-17.87130346304978,-1.2672252021835069,0.20509115580122886,1.0,0.24556967339357666
ens_median,patchtst,18018,-3.2642903596446042,-1.17286617232036,0.24086498301801174,1.0,0.2846586162940139
ml,seasonal_naive,18018,62.12256269517961,1.1205188046850527,0.2625076793916962,1.0,0.30625895929031227
ens_mean,tft,18018,9.436381809366523,1.0991473653480355,0.271718479634305,1.0,0.31299217274331337
ens_perf,stack_global,18018,3.7103089960795863,0.9351492664253335,0.3497239131769351,1.0,0.39781095123876364
mist_v2,stack_global,18018,9.175614133032145,0.6537288845962694,0.5132948335731411,1.0,0.5766645661130351
mist_v2,stack_phase_conformal,18018,6.922983398551693,0.49768701606270666,0.6187107349700733,1.0,0.6866180107594716
mist_v2,stack_phase,18018,6.427811996155879,0.4578694934530241,0.6470517268291123,1.0,0.7094181583307134
persistence,stack_global,18018,5.844733152100773,0.4429184088584114,0.6578300691294945,1.0,0.7126492415569523
ens_perf,mist_v2,18018,-5.465305136952564,-0.3866521267484467,0.6990183282651499,1.0,0.748360798495631
ens_perf,stack_phase_conformal,18018,1.4576782615991324,0.36556984845803364,0.7146903690394553,1.0,0.7562421346812841
mist_v2,persistence,18018,3.33088098093138,0.33223665963191185,0.7397144289902404,1.0,0.7737242877943894
persistence,stack_phase_conformal,18018,3.5921024176203113,0.2754643722621719,0.7829626531632582,1.0,0.8096545617938238
ens_perf,stack_phase,18018,0.9625068592033135,0.2410103890537745,0.8095498069762317,1.0,0.8233498069221787
persistence,stack_phase,18018,3.0969310152244867,0.23488326660468126,0.8143020068461109,1.0,0.8233498069221787
ens_perf,persistence,18018,-2.1344241560211783,-0.15845372516226203,0.8741010577770933,1.0,0.8741010577770933
